train_id,train_type,date,section_id,from_station,to_station,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_minutes,block_length_km,track_type,speed_limit_kmph,rake_length_m,priority_level,headway_seconds,tsr_active,tsr_speed_kmph,platform_assigned,controller_action,conflict_likelihood,propagated_delay_minutes
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.89,1
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:35:00,09:17:00,5,131,electrified,64,443,2,199,N,0,P7,prioritize,0.92,5
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:44:00,09:26:00,14,131,electrified,64,443,2,199,N,0,P7,prioritize,0.9,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,Y,45,P7,prioritize,0.99,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,Y,45,P7,prioritize,0.8,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:41:00,09:23:00,11,131,electrified,64,443,2,199,N,0,P7,divert,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P4,prioritize,0.9,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.91,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.81,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.84,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.88,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:37:00,09:19:00,7,131,electrified,64,443,2,199,N,0,P7,prioritize,0.96,7
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P5,prioritize,0.81,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,Y,45,P7,prioritize,0.9,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:35:00,09:17:00,5,131,electrified,64,443,2,199,N,0,P7,reschedule,0.99,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:47:00,09:29:00,17,131,electrified,64,443,2,199,N,0,P7,reschedule,0.97,9
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.93,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:38:00,09:20:00,8,131,electrified,64,443,2,199,N,0,P7,prioritize,1,2
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.91,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:41:00,09:23:00,11,131,electrified,64,443,2,199,N,0,P7,reschedule,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:44:00,09:26:00,14,131,electrified,64,443,2,199,Y,30,P1,hold,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:45:00,09:27:00,15,131,electrified,64,443,2,199,N,0,P7,divert,1,9
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.87,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.96,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:38:00,09:20:00,8,131,electrified,64,443,2,199,N,0,P7,reschedule,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:34:00,09:16:00,4,131,electrified,64,443,2,199,N,0,P7,prioritize,0.88,4
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:40:00,09:22:00,10,131,electrified,64,443,2,199,Y,60,P5,reschedule,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.91,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.74,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.87,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:36:00,09:18:00,6,131,electrified,64,443,2,199,Y,60,P7,divert,0.91,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:40:00,09:22:00,10,131,electrified,64,443,2,199,N,0,P5,prioritize,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,Y,60,P7,prioritize,0.82,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.98,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,Y,60,P7,prioritize,0.79,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.85,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.98,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.87,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.85,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P9,prioritize,0.76,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,N,0,P7,prioritize,0.8,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:45:00,09:27:00,15,131,electrified,64,443,2,199,N,0,P7,hold,1,1
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:45:00,09:27:00,15,131,electrified,64,443,2,199,N,0,P7,divert,1,0
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:46:00,09:28:00,16,131,electrified,64,443,2,199,N,0,P7,prioritize,0.94,3
T10030,suburban,17-09-2025,SEC003,MAS,HWH,07:30:00,09:12:00,07:30:00,09:12:00,0,131,electrified,64,443,2,199,Y,60,P7,prioritize,0.71,0
